,Company,Date,Sentiment,Total Mentions
1315,TSLA,3/14/2020,0,0
1316,S&P500,3/14/2020,0,0
1317,GME,3/15/2020,0.9485,2
1318,TSLA,3/15/2020,0,0
1319,S&P500,3/15/2020,0,0
1320,GME,3/16/2020,0,0
1321,TSLA,3/16/2020,2.123,10
1322,S&P500,3/16/2020,0,0
1323,GME,3/17/2020,0,0
1324,TSLA,3/17/2020,-0.278,14
1325,S&P500,3/17/2020,0,0
1326,GME,3/18/2020,0,0
1327,TSLA,3/18/2020,2.636,18
1328,S&P500,3/18/2020,0,0
1329,GME,3/19/2020,0,0
1330,TSLA,3/19/2020,2.2311,40
1331,S&P500,3/19/2020,0,0
1332,GME,3/20/2020,0,3
1333,TSLA,3/20/2020,-0.4224,3
1334,S&P500,3/20/2020,0,0
1335,GME,3/21/2020,0,0
1336,TSLA,3/21/2020,0,0
1337,S&P500,3/21/2020,0,0
1338,GME,3/22/2020,0,0
1339,TSLA,3/22/2020,0,0
1340,S&P500,3/22/2020,0,0
1341,GME,3/23/2020,0,0
1342,TSLA,3/23/2020,0.3612,2
1343,S&P500,3/23/2020,0,0
1344,GME,3/24/2020,0,0
1345,TSLA,3/24/2020,0.9701,7
1346,S&P500,3/24/2020,0,0
1347,GME,3/25/2020,0,0
1348,TSLA,3/25/2020,0,0
1349,S&P500,3/25/2020,0,0
1350,GME,3/26/2020,0.9042,1
1351,TSLA,3/26/2020,-0.0504,10
1352,S&P500,3/26/2020,0,0
1353,GME,3/27/2020,0,0
1354,TSLA,3/27/2020,0,0
1355,S&P500,3/27/2020,0,0
1356,GME,3/28/2020,0,0
1357,TSLA,3/28/2020,0,0
1358,S&P500,3/28/2020,0,0
1359,GME,3/29/2020,0,0
1360,TSLA,3/29/2020,0,0
1361,S&P500,3/29/2020,0,0
1362,GME,3/30/2020,0,0
1363,TSLA,3/30/2020,-0.2762,13
1364,S&P500,3/30/2020,0,0
1365,GME,3/31/2020,0,0
1366,TSLA,3/31/2020,0,0
1367,S&P500,3/31/2020,0,0
1368,GME,4/1/2020,0,0
1369,TSLA,4/1/2020,0,0
1370,S&P500,4/1/2020,0,0
1371,GME,4/2/2020,0,0
1372,TSLA,4/2/2020,2.7693,32
1373,S&P500,4/2/2020,0,0
1374,GME,4/3/2020,0,0
1375,TSLA,4/3/2020,0.5,4
1376,S&P500,4/3/2020,0,0
1377,GME,4/4/2020,0,0
1378,TSLA,4/4/2020,0.6265,8
1379,S&P500,4/4/2020,0,0
1380,GME,4/5/2020,0,0
1381,TSLA,4/5/2020,0,0
1382,S&P500,4/5/2020,0,0
1383,GME,4/6/2020,0,0
1384,TSLA,4/6/2020,4.1564,11
1385,S&P500,4/6/2020,0,0
1386,GME,4/7/2020,0,0
1387,TSLA,4/7/2020,0.8402,1
1388,S&P500,4/7/2020,0,0
1389,GME,4/8/2020,0,0
1390,TSLA,4/8/2020,1.5541,14
1391,S&P500,4/8/2020,0,0
1392,GME,4/9/2020,0,0
1393,TSLA,4/9/2020,0.9829,6
1394,S&P500,4/9/2020,0,0
1395,GME,4/10/2020,0,0
1396,TSLA,4/10/2020,-1.2545,7
1397,S&P500,4/10/2020,0,0
1398,GME,4/11/2020,0,0
1399,TSLA,4/11/2020,0,0
1400,S&P500,4/11/2020,0,0
1401,GME,4/12/2020,0,0
1402,TSLA,4/12/2020,0,0
1403,S&P500,4/12/2020,0,0
1404,GME,4/13/2020,0,0
1405,TSLA,4/13/2020,-0.3182,1
1406,S&P500,4/13/2020,0,0
1407,GME,4/14/2020,0,0
1408,TSLA,4/14/2020,4.0438,12
1409,S&P500,4/14/2020,0,0
1410,GME,4/15/2020,0,0
1411,TSLA,4/15/2020,4.6004,8
1412,S&P500,4/15/2020,0,0
1413,GME,4/16/2020,0,0
1414,TSLA,4/16/2020,0.6478,2
1415,S&P500,4/16/2020,0,0
1416,GME,4/17/2020,0,0
1417,TSLA,4/17/2020,0,0
1418,S&P500,4/17/2020,0,0
1419,GME,4/18/2020,0,0
1420,TSLA,4/18/2020,0,0
1421,S&P500,4/18/2020,0,0
1422,GME,4/19/2020,0,0
1423,TSLA,4/19/2020,0,0
1424,S&P500,4/19/2020,0,0
1425,GME,4/20/2020,0,0
1426,TSLA,4/20/2020,0,0
1427,S&P500,4/20/2020,0,0
1428,GME,4/21/2020,0,0
1429,TSLA,4/21/2020,0.2769,1
1430,S&P500,4/21/2020,0,0
1431,GME,4/22/2020,0,0
1432,TSLA,4/22/2020,4.6023,13
1433,S&P500,4/22/2020,0,0
1434,GME,4/23/2020,0,0
1435,TSLA,4/23/2020,0,1
1436,S&P500,4/23/2020,0,0
1437,GME,4/24/2020,0,0
1438,TSLA,4/24/2020,-0.2732,3
1439,S&P500,4/24/2020,0,0
1440,GME,4/25/2020,0,0
1441,TSLA,4/25/2020,0,0
1442,S&P500,4/25/2020,0,0
1443,GME,4/26/2020,0,0
1444,TSLA,4/26/2020,-0.5734,7
1445,S&P500,4/26/2020,0,0
1446,GME,4/27/2020,0,0
1447,TSLA,4/27/2020,3.9582,17
1448,S&P500,4/27/2020,0,0
1449,GME,4/28/2020,0,0
1450,TSLA,4/28/2020,0,9
1451,S&P500,4/28/2020,0,0
1452,GME,4/29/2020,0,0
1453,TSLA,4/29/2020,2.8333,39
1454,S&P500,4/29/2020,0,0
1455,GME,4/30/2020,0,0
1456,TSLA,4/30/2020,3.8374,7
1457,S&P500,4/30/2020,0,0
1458,GME,5/1/2020,0,0
1459,TSLA,5/1/2020,8.0628,20
1460,S&P500,5/1/2020,0,0
1461,GME,5/2/2020,0,0
1462,TSLA,5/2/2020,0.6616,13
1463,S&P500,5/2/2020,0,0
1464,GME,5/3/2020,0,0
1465,TSLA,5/3/2020,0,0
1466,S&P500,5/3/2020,0,0
1467,GME,5/4/2020,0,0
1468,TSLA,5/4/2020,1.2576,7
1469,S&P500,5/4/2020,0,0
1470,GME,5/5/2020,0,0
1471,TSLA,5/5/2020,-0.0516,1
1472,S&P500,5/5/2020,0,0
1473,GME,5/6/2020,0,0
1474,TSLA,5/6/2020,0,0
1475,S&P500,5/6/2020,0,0
1476,GME,5/7/2020,0,0
1477,TSLA,5/7/2020,-0.2391,14
1478,S&P500,5/7/2020,0,0
1479,GME,5/8/2020,0,0
1480,TSLA,5/8/2020,4.13,24
1481,S&P500,5/8/2020,0,0
1482,GME,5/9/2020,0,0
1483,TSLA,5/9/2020,2.5091,22
1484,S&P500,5/9/2020,0,0
1485,GME,5/10/2020,0,0
1486,TSLA,5/10/2020,0.7351,12
1487,S&P500,5/10/2020,0,0
1488,GME,5/11/2020,0,0
1489,TSLA,5/11/2020,1.2604,33
1490,S&P500,5/11/2020,0,0
1491,GME,5/12/2020,0,0
1492,TSLA,5/12/2020,0.3146,32
1493,S&P500,5/12/2020,0,0
1494,GME,5/13/2020,0,0
1495,TSLA,5/13/2020,0.1341,31
1496,S&P500,5/13/2020,0,0
1497,GME,5/14/2020,0,0
1498,TSLA,5/14/2020,-3.2617,24
1499,S&P500,5/14/2020,0,0
1500,GME,5/15/2020,0,0
1501,TSLA,5/15/2020,0,5
1502,S&P500,5/15/2020,0,0
1503,GME,5/16/2020,0,0
1504,TSLA,5/16/2020,-0.3205,2
1505,S&P500,5/16/2020,0,0
1506,GME,5/17/2020,0,0
1507,TSLA,5/17/2020,1.0056,3
1508,S&P500,5/17/2020,0,0
1509,GME,5/18/2020,0,0
1510,TSLA,5/18/2020,0.6597,3
1511,S&P500,5/18/2020,0,0
1512,GME,5/19/2020,0,0
1513,TSLA,5/19/2020,2.9176,17
1514,S&P500,5/19/2020,0,0
1515,GME,5/20/2020,0,0
1516,TSLA,5/20/2020,1.9247,25
1517,S&P500,5/20/2020,0,0
1518,GME,5/21/2020,0,0
1519,TSLA,5/21/2020,4.0196,12
1520,S&P500,5/21/2020,0,0
1521,GME,5/22/2020,0,0
1522,TSLA,5/22/2020,2.2656,8
1523,S&P500,5/22/2020,0,0
1524,GME,5/23/2020,0,0
1525,TSLA,5/23/2020,0,0
1526,S&P500,5/23/2020,0,0
1527,GME,5/24/2020,0,0
1528,TSLA,5/24/2020,0.5267,1
1529,S&P500,5/24/2020,0,0
1530,GME,5/25/2020,0,0
1531,TSLA,5/25/2020,0,0
1532,S&P500,5/25/2020,0,0
1533,GME,5/26/2020,0,0
1534,TSLA,5/26/2020,0,0
1535,S&P500,5/26/2020,0,0
1536,GME,5/27/2020,0,0
1537,TSLA,5/27/2020,1.6007,16
1538,S&P500,5/27/2020,0,0
1539,GME,5/28/2020,0,0
1540,TSLA,5/28/2020,2.2595,11
1541,S&P500,5/28/2020,0,0
1542,GME,5/29/2020,0,0
1543,TSLA,5/29/2020,3.0205,6
1544,S&P500,5/29/2020,0,0
1545,GME,5/30/2020,0,0
1546,TSLA,5/30/2020,0,0
1547,S&P500,5/30/2020,0,0
1548,GME,5/31/2020,0,0
1549,TSLA,5/31/2020,0,0
1550,S&P500,5/31/2020,0,0
1551,GME,6/1/2020,0,0
1552,TSLA,6/1/2020,0.2732,1
1553,S&P500,6/1/2020,0,0
1554,GME,6/2/2020,0,0
1555,TSLA,6/2/2020,0,0
1556,S&P500,6/2/2020,0,0
1557,GME,6/3/2020,0,0
1558,TSLA,6/3/2020,0,0
1559,S&P500,6/3/2020,0,0
1560,GME,6/4/2020,0,0
1561,TSLA,6/4/2020,-0.6397,4
1562,S&P500,6/4/2020,0,0
1563,GME,6/5/2020,-0.296,1
1564,TSLA,6/5/2020,1.3336,4
1565,S&P500,6/5/2020,0,0
1566,GME,6/6/2020,0,0
1567,TSLA,6/6/2020,0,0
1568,S&P500,6/6/2020,0,0
1569,GME,6/7/2020,0,0
1570,TSLA,6/7/2020,0.7814,1
1571,S&P500,6/7/2020,0,0
1572,GME,6/8/2020,0.5859,1
1573,TSLA,6/8/2020,2.5706,10
1574,S&P500,6/8/2020,0,0
1575,GME,6/9/2020,-0.0258,1
1576,TSLA,6/9/2020,5.3646,13
1577,S&P500,6/9/2020,0,0
1578,GME,6/10/2020,1.5158,2
1579,TSLA,6/10/2020,2.694,12
1580,S&P500,6/10/2020,0,0
1581,GME,6/11/2020,0,0
1582,TSLA,6/11/2020,1.7345,3
1583,S&P500,6/11/2020,0,0
1584,GME,6/12/2020,0,0
1585,TSLA,6/12/2020,1.7712,8
1586,S&P500,6/12/2020,0,0
1587,GME,6/13/2020,0,0
1588,TSLA,6/13/2020,0,0
1589,S&P500,6/13/2020,0,0
1590,GME,6/14/2020,0,0
1591,TSLA,6/14/2020,0,0
1592,S&P500,6/14/2020,0,0
1593,GME,6/15/2020,0,0
1594,TSLA,6/15/2020,2.1116,10
1595,S&P500,6/15/2020,0,0
1596,GME,6/16/2020,0,0
1597,TSLA,6/16/2020,2.5626,17
1598,S&P500,6/16/2020,0,0
1599,GME,6/17/2020,0,0
1600,TSLA,6/17/2020,-0.4588,5
1601,S&P500,6/17/2020,0,0
1602,GME,6/18/2020,0,0
1603,TSLA,6/18/2020,4.631,8
1604,S&P500,6/18/2020,0,0
1605,GME,6/19/2020,0,0
1606,TSLA,6/19/2020,7.8281,29
1607,S&P500,6/19/2020,0,0
1608,GME,6/20/2020,0,0
1609,TSLA,6/20/2020,-0.0418,5
1610,S&P500,6/20/2020,0,0
1611,GME,6/21/2020,0,0
1612,TSLA,6/21/2020,0,0
1613,S&P500,6/21/2020,0,0
1614,GME,6/22/2020,0,0
1615,TSLA,6/22/2020,1.904,9
1616,S&P500,6/22/2020,0,0
1617,GME,6/23/2020,0,0
1618,TSLA,6/23/2020,0.0111,4
1619,S&P500,6/23/2020,0,0
1620,GME,6/24/2020,0,0
1621,TSLA,6/24/2020,-2.9569,16
1622,S&P500,6/24/2020,0,0
1623,GME,6/25/2020,0,0
1624,TSLA,6/25/2020,0,2
1625,S&P500,6/25/2020,0,0
1626,GME,6/26/2020,0,0
1627,TSLA,6/26/2020,3.2014,19
1628,S&P500,6/26/2020,0,0
1629,GME,6/27/2020,0,0
1630,TSLA,6/27/2020,0,1
1631,S&P500,6/27/2020,0,0
1632,GME,6/28/2020,0,0
1633,TSLA,6/28/2020,0,0
1634,S&P500,6/28/2020,0,0
1635,GME,6/29/2020,0,0
1636,TSLA,6/29/2020,2.9616,10
1637,S&P500,6/29/2020,0,0
1638,GME,6/30/2020,0,0
1639,TSLA,6/30/2020,6.111,23
1640,S&P500,6/30/2020,0,0
1641,GME,7/1/2020,0,0
1642,TSLA,7/1/2020,2.7371,13
1643,S&P500,7/1/2020,0,0
1644,GME,7/2/2020,0,0
1645,TSLA,7/2/2020,7.1641,37
1646,S&P500,7/2/2020,0,0
1647,GME,7/3/2020,0,0
1648,TSLA,7/3/2020,0,0
1649,S&P500,7/3/2020,0,0
1650,GME,7/4/2020,0,0
1651,TSLA,7/4/2020,0,0
1652,S&P500,7/4/2020,0,0
1653,GME,7/5/2020,0,0
1654,TSLA,7/5/2020,0,0
1655,S&P500,7/5/2020,0,0
1656,GME,7/6/2020,0,0
1657,TSLA,7/6/2020,3.3007,5
1658,S&P500,7/6/2020,0,0
1659,GME,7/7/2020,0,0
1660,TSLA,7/7/2020,3.2577,7
1661,S&P500,7/7/2020,0,0
1662,GME,7/8/2020,0,0
1663,TSLA,7/8/2020,4.6092,14
1664,S&P500,7/8/2020,0,0
1665,GME,7/9/2020,0,0
1666,TSLA,7/9/2020,0.0654,4
1667,S&P500,7/9/2020,0,0
1668,GME,7/10/2020,0,0
1669,TSLA,7/10/2020,1.5703,23
1670,S&P500,7/10/2020,0,0
1671,GME,7/11/2020,0,0
1672,TSLA,7/11/2020,-0.3165,2
1673,S&P500,7/11/2020,0,0
1674,GME,7/12/2020,0,0
1675,TSLA,7/12/2020,0,0
1676,S&P500,7/12/2020,0,0
1677,GME,7/13/2020,0,0
1678,TSLA,7/13/2020,5.9338,26
1679,S&P500,7/13/2020,0,0
1680,GME,7/14/2020,0,0
1681,TSLA,7/14/2020,7.8389,34
1682,S&P500,7/14/2020,0,0
1683,GME,7/15/2020,0,0
1684,TSLA,7/15/2020,4.0117,13
1685,S&P500,7/15/2020,0,0
1686,GME,7/16/2020,0,0
1687,TSLA,7/16/2020,-1.1817,11
1688,S&P500,7/16/2020,0,0
1689,GME,7/17/2020,0,0
1690,TSLA,7/17/2020,3.2277,8
1691,S&P500,7/17/2020,0,0
1692,GME,7/18/2020,0,0
1693,TSLA,7/18/2020,0,0
1694,S&P500,7/18/2020,0,0
1695,GME,7/19/2020,0,0
1696,TSLA,7/19/2020,0,0
1697,S&P500,7/19/2020,0,0
1698,GME,7/20/2020,0,0
1699,TSLA,7/20/2020,4.8316,13
1700,S&P500,7/20/2020,0,0
1701,GME,7/21/2020,0,0
1702,TSLA,7/21/2020,8.7622,21
1703,S&P500,7/21/2020,0,0
1704,GME,7/22/2020,0,0
1705,TSLA,7/22/2020,16.194,40
1706,S&P500,7/22/2020,0,0
1707,GME,7/23/2020,0,0
1708,TSLA,7/23/2020,20.7016,75
1709,S&P500,7/23/2020,0,0
1710,GME,7/24/2020,0,0
1711,TSLA,7/24/2020,3.9721,22
1712,S&P500,7/24/2020,0,0
1713,GME,7/25/2020,0,0
1714,TSLA,7/25/2020,2.4824,15
1715,S&P500,7/25/2020,0,0
1716,GME,7/26/2020,0,0
1717,TSLA,7/26/2020,0.7269,1
1718,S&P500,7/26/2020,0,0
1719,GME,7/27/2020,0,0
1720,TSLA,7/27/2020,0.4532,3
1721,S&P500,7/27/2020,0,0
1722,GME,7/28/2020,0,0
1723,TSLA,7/28/2020,1.2815,5
1724,S&P500,7/28/2020,0,0
1725,GME,7/29/2020,0,0
1726,TSLA,7/29/2020,2.0134,4
1727,S&P500,7/29/2020,0,0
1728,GME,7/30/2020,0,0
1729,TSLA,7/30/2020,-0.1573,2
1730,S&P500,7/30/2020,0,0
1731,GME,7/31/2020,0,0
1732,TSLA,7/31/2020,3.9689,16
1733,S&P500,7/31/2020,0,0
1734,GME,8/1/2020,0,0
1735,TSLA,8/1/2020,1.9599,3
1736,S&P500,8/1/2020,0,0
1737,GME,8/2/2020,0,0
1738,TSLA,8/2/2020,0,0
1739,S&P500,8/2/2020,0,0
1740,GME,8/3/2020,0,0
1741,TSLA,8/3/2020,0.4404,1
1742,S&P500,8/3/2020,0,0
1743,GME,8/4/2020,0,0
1744,TSLA,8/4/2020,6.4313,14
1745,S&P500,8/4/2020,0,0
1746,GME,8/5/2020,0,0
1747,TSLA,8/5/2020,2.8517,7
1748,S&P500,8/5/2020,0,0
1749,GME,8/6/2020,0,0
1750,TSLA,8/6/2020,1.2496,5
1751,S&P500,8/6/2020,0,0
1752,GME,8/7/2020,0,0
1753,TSLA,8/7/2020,0.492,2
1754,S&P500,8/7/2020,0,0
1755,GME,8/8/2020,0,0
1756,TSLA,8/8/2020,0,0
1757,S&P500,8/8/2020,0,0
1758,GME,8/9/2020,0,0
1759,TSLA,8/9/2020,0,1
1760,S&P500,8/9/2020,0,0
1761,GME,8/10/2020,0,0
1762,TSLA,8/10/2020,1.2163,5
1763,S&P500,8/10/2020,0,0
1764,GME,8/11/2020,0,0
1765,TSLA,8/11/2020,3.2262,11
1766,S&P500,8/11/2020,0,0
1767,GME,8/12/2020,0,0
1768,TSLA,8/12/2020,9.398,22
1769,S&P500,8/12/2020,0,0
1770,GME,8/13/2020,0,0
1771,TSLA,8/13/2020,2.985,7
1772,S&P500,8/13/2020,0,0
1773,GME,8/14/2020,0,0
1774,TSLA,8/14/2020,5.7928,15
1775,S&P500,8/14/2020,0,0
1776,GME,8/15/2020,0,0
1777,TSLA,8/15/2020,4.6346,17
1778,S&P500,8/15/2020,0,0
1779,GME,8/16/2020,0,0
1780,TSLA,8/16/2020,0,0
1781,S&P500,8/16/2020,0,0
1782,GME,8/17/2020,0,0
1783,TSLA,8/17/2020,0.8126,1
1784,S&P500,8/17/2020,0,0
1785,GME,8/18/2020,0,0
1786,TSLA,8/18/2020,0.7806,6
1787,S&P500,8/18/2020,0,0
1788,GME,8/19/2020,0,0
1789,TSLA,8/19/2020,0,0
1790,S&P500,8/19/2020,0,0
1791,GME,8/20/2020,0,0
1792,TSLA,8/20/2020,2.4548,5
1793,S&P500,8/20/2020,0,0
1794,GME,8/21/2020,0,0
1795,TSLA,8/21/2020,5.0082,14
1796,S&P500,8/21/2020,0,0
1797,GME,8/22/2020,0,0
1798,TSLA,8/22/2020,0.3612,1
1799,S&P500,8/22/2020,0,0
1800,GME,8/23/2020,0,0
1801,TSLA,8/23/2020,0,0
1802,S&P500,8/23/2020,0,0
1803,GME,8/24/2020,0,0
1804,TSLA,8/24/2020,9.773,23
1805,S&P500,8/24/2020,0,0
1806,GME,8/25/2020,0,0
1807,TSLA,8/25/2020,4.2031,8
1808,S&P500,8/25/2020,0,0
1809,GME,8/26/2020,0,0
1810,TSLA,8/26/2020,1.8656,7
1811,S&P500,8/26/2020,0,0
1812,GME,8/27/2020,0,0
1813,TSLA,8/27/2020,1.7284,7
1814,S&P500,8/27/2020,0,0
1815,GME,8/28/2020,0,0
1816,TSLA,8/28/2020,2.8718,5
1817,S&P500,8/28/2020,0,0
1818,GME,8/29/2020,0,0
1819,TSLA,8/29/2020,0,0
1820,S&P500,8/29/2020,0,0
1821,GME,8/30/2020,0,0
1822,TSLA,8/30/2020,0,0
1823,S&P500,8/30/2020,0,0
1824,GME,8/31/2020,0,0
