,Company,Date,Sentiment,Total Mentions
1095,GME,1/1/2020,0,0
1096,TSLA,1/1/2020,-3.7834,9
1097,S&P500,1/1/2020,0,0
1098,GME,1/2/2020,0,0
1099,TSLA,1/2/2020,1.463,9
1100,S&P500,1/2/2020,0,0
1101,GME,1/3/2020,0,0
1102,TSLA,1/3/2020,3.7024,21
1103,S&P500,1/3/2020,0,0
1104,GME,1/4/2020,0,0
1105,TSLA,1/4/2020,0,0
1106,S&P500,1/4/2020,0,0
1107,GME,1/5/2020,0,0
1108,TSLA,1/5/2020,0,0
1109,S&P500,1/5/2020,0,0
1110,GME,1/6/2020,0,0
1111,TSLA,1/6/2020,-0.0882,2
1112,S&P500,1/6/2020,0,0
1113,GME,1/7/2020,0,0
1114,TSLA,1/7/2020,20.8886,85
1115,S&P500,1/7/2020,0,0
1116,GME,1/8/2020,0,0
1117,TSLA,1/8/2020,1.5914,11
1118,S&P500,1/8/2020,0,0
1119,GME,1/9/2020,0,0
1120,TSLA,1/9/2020,4.2025,14
1121,S&P500,1/9/2020,0,0
1122,GME,1/10/2020,0,0
1123,TSLA,1/10/2020,3.4832,18
1124,S&P500,1/10/2020,0,0
1125,GME,1/11/2020,0,0
1126,TSLA,1/11/2020,0,0
1127,S&P500,1/11/2020,0,0
1128,GME,1/12/2020,0,0
1129,TSLA,1/12/2020,0,0
1130,S&P500,1/12/2020,0,0
1131,GME,1/13/2020,0.5423,1
1132,TSLA,1/13/2020,11.1314,39
1133,S&P500,1/13/2020,0,0
1134,GME,1/14/2020,0.3062,2
1135,TSLA,1/14/2020,19.8069,62
1136,S&P500,1/14/2020,0,0
1137,GME,1/15/2020,0,0
1138,TSLA,1/15/2020,7.2944,23
1139,S&P500,1/15/2020,0,0
1140,GME,1/16/2020,0,0
1141,TSLA,1/16/2020,3.4313,16
1142,S&P500,1/16/2020,0,0
1143,GME,1/17/2020,0,0
1144,TSLA,1/17/2020,-1.6935,12
1145,S&P500,1/17/2020,0,0
1146,GME,1/18/2020,0,0
1147,TSLA,1/18/2020,0,0
1148,S&P500,1/18/2020,0,0
1149,GME,1/19/2020,0,0
1150,TSLA,1/19/2020,0.7145,2
1151,S&P500,1/19/2020,0,0
1152,GME,1/20/2020,0,0
1153,TSLA,1/20/2020,-2.3441,10
1154,S&P500,1/20/2020,0,0
1155,GME,1/21/2020,0,0
1156,TSLA,1/21/2020,2.0634,6
1157,S&P500,1/21/2020,0,0
1158,GME,1/22/2020,0,0
1159,TSLA,1/22/2020,11.7254,44
1160,S&P500,1/22/2020,0,0
1161,GME,1/23/2020,0,0
1162,TSLA,1/23/2020,2.2994,12
1163,S&P500,1/23/2020,0,0
1164,GME,1/24/2020,0,0
1165,TSLA,1/24/2020,4.0819,24
1166,S&P500,1/24/2020,0,0
1167,GME,1/25/2020,0,0
1168,TSLA,1/25/2020,1.4958,4
1169,S&P500,1/25/2020,0,0
1170,GME,1/26/2020,0,0
1171,TSLA,1/26/2020,0,0
1172,S&P500,1/26/2020,0,0
1173,GME,1/27/2020,0,0
1174,TSLA,1/27/2020,0,2
1175,S&P500,1/27/2020,0,0
1176,GME,1/28/2020,0,0
1177,TSLA,1/28/2020,2.8126,8
1178,S&P500,1/28/2020,0,0
1179,GME,1/29/2020,0,0
1180,TSLA,1/29/2020,12.0883,46
1181,S&P500,1/29/2020,0,0
1182,GME,1/30/2020,0,0
1183,TSLA,1/30/2020,13.917,58
1184,S&P500,1/30/2020,0,0
1185,GME,1/31/2020,0,0
1186,TSLA,1/31/2020,5.2558,10
1187,S&P500,1/31/2020,0,0
1188,GME,2/1/2020,0,0
1189,TSLA,2/1/2020,-0.743,4
1190,S&P500,2/1/2020,0,0
1191,GME,2/2/2020,0,0
1192,TSLA,2/2/2020,0,0
1193,S&P500,2/2/2020,0,0
1194,GME,2/3/2020,0,0
1195,TSLA,2/3/2020,11.8015,37
1196,S&P500,2/3/2020,0,0
1197,GME,2/4/2020,0,0
1198,TSLA,2/4/2020,28.1065,100
1199,S&P500,2/4/2020,0,0
1200,GME,2/5/2020,0,0
1201,TSLA,2/5/2020,15.1137,110
1202,S&P500,2/5/2020,0,0
1203,GME,2/6/2020,0,0
1204,TSLA,2/6/2020,9.1071,35
1205,S&P500,2/6/2020,0,0
1206,GME,2/7/2020,0,0
1207,TSLA,2/7/2020,1.6777,12
1208,S&P500,2/7/2020,0,0
1209,GME,2/8/2020,0,0
1210,TSLA,2/8/2020,8.8561,34
1211,S&P500,2/8/2020,0,0
1212,GME,2/9/2020,0,0
1213,TSLA,2/9/2020,0,0
1214,S&P500,2/9/2020,0,0
1215,GME,2/10/2020,0,0
1216,TSLA,2/10/2020,10.6112,46
1217,S&P500,2/10/2020,0,0
1218,GME,2/11/2020,0,0
1219,TSLA,2/11/2020,1.8091,9
1220,S&P500,2/11/2020,0,0
1221,GME,2/12/2020,0,0
1222,TSLA,2/12/2020,0.5267,1
1223,S&P500,2/12/2020,0,0
1224,GME,2/13/2020,0,0
1225,TSLA,2/13/2020,12.3625,67
1226,S&P500,2/13/2020,0,0
1227,GME,2/14/2020,0,0
1228,TSLA,2/14/2020,3.2979,13
1229,S&P500,2/14/2020,0,0
1230,GME,2/15/2020,0,0
1231,TSLA,2/15/2020,1.2466,12
1232,S&P500,2/15/2020,0,0
1233,GME,2/16/2020,0,0
1234,TSLA,2/16/2020,0,0
1235,S&P500,2/16/2020,0,0
1236,GME,2/17/2020,0,0
1237,TSLA,2/17/2020,0.9806,8
1238,S&P500,2/17/2020,0,0
1239,GME,2/18/2020,0,0
1240,TSLA,2/18/2020,5.8709,28
1241,S&P500,2/18/2020,0,0
1242,GME,2/19/2020,0,0
1243,TSLA,2/19/2020,19.1013,37
1244,S&P500,2/19/2020,0,0
1245,GME,2/20/2020,0,0
1246,TSLA,2/20/2020,6.4162,12
1247,S&P500,2/20/2020,0,0
1248,GME,2/21/2020,0,0
1249,TSLA,2/21/2020,0.8788,11
1250,S&P500,2/21/2020,0,0
1251,GME,2/22/2020,0,0
1252,TSLA,2/22/2020,3.0966,8
1253,S&P500,2/22/2020,0,0
1254,GME,2/23/2020,0,0
1255,TSLA,2/23/2020,1.1961,5
1256,S&P500,2/23/2020,0,0
1257,GME,2/24/2020,0,0
1258,TSLA,2/24/2020,1.6715,9
1259,S&P500,2/24/2020,0,0
1260,GME,2/25/2020,0,0
1261,TSLA,2/25/2020,2.8041,18
1262,S&P500,2/25/2020,0,0
1263,GME,2/26/2020,0,0
1264,TSLA,2/26/2020,1.7653,25
1265,S&P500,2/26/2020,0,0
1266,GME,2/27/2020,0,0
1267,TSLA,2/27/2020,1.3654,7
1268,S&P500,2/27/2020,0,0
1269,GME,2/28/2020,0,0
1270,TSLA,2/28/2020,-0.476,3
1271,S&P500,2/28/2020,0,0
1272,GME,2/29/2020,0,0
1273,TSLA,2/29/2020,0.2263,1
1274,S&P500,2/29/2020,0,0
1275,GME,3/1/2020,0,0
1276,TSLA,3/1/2020,0,0
1277,S&P500,3/1/2020,0,0
1278,GME,3/2/2020,0,0
1279,TSLA,3/2/2020,2.4236,5
1280,S&P500,3/2/2020,0,0
1281,GME,3/3/2020,0,0
1282,TSLA,3/3/2020,4.5627,6
1283,S&P500,3/3/2020,0,0
1284,GME,3/4/2020,0,0
1285,TSLA,3/4/2020,1.0616,3
1286,S&P500,3/4/2020,0,0
1287,GME,3/5/2020,0,0
1288,TSLA,3/5/2020,3.903,18
1289,S&P500,3/5/2020,0,0
1290,GME,3/6/2020,0,0
1291,TSLA,3/6/2020,-1.061,4
1292,S&P500,3/6/2020,0,0
1293,GME,3/7/2020,0,0
1294,TSLA,3/7/2020,0,0
1295,S&P500,3/7/2020,0,0
1296,GME,3/8/2020,0,0
1297,TSLA,3/8/2020,0,0
1298,S&P500,3/8/2020,0,0
1299,GME,3/9/2020,0,0
1300,TSLA,3/9/2020,1.9827,20
1301,S&P500,3/9/2020,0,0
1302,GME,3/10/2020,0,0
1303,TSLA,3/10/2020,5.1459,30
1304,S&P500,3/10/2020,0,0
1305,GME,3/11/2020,0,0
1306,TSLA,3/11/2020,0.381,9
1307,S&P500,3/11/2020,0,0
1308,GME,3/12/2020,0,0
1309,TSLA,3/12/2020,0.9936,10
1310,S&P500,3/12/2020,0,0
1311,GME,3/13/2020,0,0
1312,TSLA,3/13/2020,-0.0914,3
1313,S&P500,3/13/2020,0,0
1314,GME,3/14/2020,0,0
