,Company,Date,Sentiment,Total Mentions
148,TSLA,2019-02-19,2.9911,17
149,S&P500,2019-02-19,0,0
150,GME,2019-02-20,0,0
151,TSLA,2019-02-20,11.031199999999998,50
152,S&P500,2019-02-20,0,0
153,GME,2019-02-21,0,0
154,TSLA,2019-02-21,-0.21389999999999992,52
155,S&P500,2019-02-21,0,0
156,GME,2019-02-22,0,0
157,TSLA,2019-02-22,-1.1202999999999999,13
158,S&P500,2019-02-22,0,0
159,GME,2019-02-23,0,0
160,TSLA,2019-02-23,1.579,3
161,S&P500,2019-02-23,0,0
162,GME,2019-02-24,0,0
163,TSLA,2019-02-24,0,0
164,S&P500,2019-02-24,0,0
165,GME,2019-02-25,0,0
166,TSLA,2019-02-25,-1.3463,11
167,S&P500,2019-02-25,0,0
168,GME,2019-02-26,0,0
169,TSLA,2019-02-26,-3.1727000000000007,32
170,S&P500,2019-02-26,0,0
171,GME,2019-02-27,0,0
172,TSLA,2019-02-27,2.3456,34
173,S&P500,2019-02-27,0,0
174,GME,2019-02-28,0,0
175,TSLA,2019-02-28,2.4585,51
176,S&P500,2019-02-28,0,0
177,GME,2019-03-01,0,0
178,TSLA,2019-03-01,3.9969999999999986,53
179,S&P500,2019-03-01,0,0
180,GME,2019-03-02,0,0
181,TSLA,2019-03-02,0,0
182,S&P500,2019-03-02,0,0
183,GME,2019-03-03,0,0
184,TSLA,2019-03-03,1.118,7
185,S&P500,2019-03-03,0,0
186,GME,2019-03-04,0.8126,1
187,TSLA,2019-03-04,4.0111,30
188,S&P500,2019-03-04,0,0
189,GME,2019-03-05,0.296,2
190,TSLA,2019-03-05,4.685200000000001,41
191,S&P500,2019-03-05,0,0
192,GME,2019-03-06,0,0
193,TSLA,2019-03-06,2.1326,10
194,S&P500,2019-03-06,0,0
195,GME,2019-03-07,0,0
196,TSLA,2019-03-07,10.4602,52
197,S&P500,2019-03-07,0,0
198,GME,2019-03-08,0,0
199,TSLA,2019-03-08,2.6445,10
200,S&P500,2019-03-08,0,0
201,GME,2019-03-09,0,0
202,TSLA,2019-03-09,0.2023,1
203,S&P500,2019-03-09,0,0
204,GME,2019-03-10,0,0
205,TSLA,2019-03-10,0,0
206,S&P500,2019-03-10,0,0
207,GME,2019-03-11,0,0
208,TSLA,2019-03-11,2.3970999999999996,27
209,S&P500,2019-03-11,0,0
210,GME,2019-03-12,0,0
211,TSLA,2019-03-12,-4.0706,13
212,S&P500,2019-03-12,0,0
213,GME,2019-03-13,0,0
214,TSLA,2019-03-13,-0.7726000000000002,8
215,S&P500,2019-03-13,0,0
216,GME,2019-03-14,0,0
